raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
49,Pendle V2,pendle-v2,parent#pendle,Yield,724947220,review,borderline category: Yield,,https://github.com/pendle-finance/pendle-core-v2-public/tree/main/audits,
50,Grove Finance,grove-finance,,Onchain Capital Allocator,723722401,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,,1774489318
51,Veda,veda,,Onchain Capital Allocator,689539811,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,Veda-Labs,https://github.com/Se7en-Seas/boring-vault/tree/main/audit;https://0xmacro.com/library/audits/sevenSeas-1.html;https://0xmacro.com/library/audits/sevenSeas-2.html;https://0xmacro.com/library/audits/sevenSeas-3.html,1740088552
52,Optimism Bridge,optimism-bridge,parent#optimism-foundation,Canonical Bridge,671093873,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
53,Crypto-com,crypto-com,,CEX,657012899,drop,category CEX is not a DeFi protocol with its own contracts,,,1668173255
54,Lighter Bridge,lighter-bridge,parent#lighter,Bridge,639082453,drop,category Bridge is not a DeFi protocol with its own contracts,,,1744624979
55,Obol,obol,,Staking Pool,634503246,review,borderline category: Staking Pool,,,1762287672
56,mETH Protocol,meth-protocol,,Liquid Staking,622497645,keep,,,,1701703365
57,Ondo Global Markets,ondo-global-markets,parent#ondo-finance,RWA,611919097,review,borderline category: RWA,,https://docs.ondo.finance/ondo-global-markets/trust-and-transparency,1756900783
58,Convex Finance,convex-finance,,Yield,605580004,review,borderline category: Yield,convex-eth,https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf,
59,HashKey Exchange,hashkey-exchange,,CEX,535117894,drop,category CEX is not a DeFi protocol with its own contracts,,,1718877100
60,Invesco USTB,invesco-ustb,parent#superstate,RWA,532752942,review,borderline category: RWA,,,1709914041
61,Fluid Lending,fluid-lending,parent#fluid,Lending,530179335,keep,,,https://docs.fluid.instadapp.io/audits-and-security.html,1708863218
62,Coinbase Wrapped Staked ETH,coinbase-wrapped-staked-eth,,Liquid Staking,520335611,keep,,coinbase,,1666641682
63,Symbiotic,symbiotic,,Collateral Markets,482912325,keep,,symbioticfi,https://github.com/symbioticfi/collateral/tree/main/audits,1718109849
64,Ethena USDtb,ethena-usdtb,parent#ethena,RWA,482861461,review,borderline category: RWA; sibling version of Ethena USDe (separate codebase?),,,1734350466
